epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec
1,1.7119726551902774,0.5641279051232186,1.1417974351894122,0.7115531752104055,148.8072052001953
2,0.9782064766424298,0.7362195938406606,0.8839942398985805,0.7758224942616679,145.43271946907043
3,0.7802755877194606,0.7872604967003539,0.7175193494511211,0.8032389696505994,146.09744548797607
4,0.6705236570366212,0.8129562916440846,0.6526478664268799,0.8182861514919664,143.47039103507996
5,0.6072554726388885,0.8246883667548698,0.569056317928463,0.8425146646263708,144.96855926513672
6,0.5587833786362666,0.8389071316989193,0.5338168653168566,0.8422596276460087,143.23810386657715
7,0.5202641838550887,0.8450600950043039,0.4890810446117764,0.854501402703392,143.25021171569824
8,0.4916300377041737,0.8528070902540887,0.496020516307036,0.852971180821219,143.24277067184448
9,0.46887232916999766,0.8584818439761532,0.4639066509737162,0.8570517725070135,140.72270250320435
10,0.450439453003385,0.8639334332260018,0.4424246758169375,0.8631726600357051,144.35158920288086
11,0.4113847593382197,0.875314821309019,0.45560321610851334,0.8624075490946187,145.18582487106323
12,0.3991846747267184,0.8785985271144834,0.4379002073382091,0.864575363427697,143.11933946609497
13,0.39024328596341995,0.8794274237255715,0.44331965453160777,0.8593471053302729,145.799391746521
14,0.34444081439922364,0.8991615391972455,0.4357863132122432,0.8644478449375159,144.59709239006042
15,0.33750617896518226,0.9015207064749577,0.4247252334900214,0.8633001785258863,143.21340417861938
